ID,FirstName,LastName,PhoneNum
176,Rachel,Rabinowitz,057-3566765
177,Michal,Rosenberg,058-5531230
178,Kayla,Ben-David,057-8799287
179,Michal,Yosef,059-5502929
180,Zohar,Berkowitz,051-5679639
181,Keren,Berkowitz,057-7358385
182,Sarah,Levi,057-6452832
183,Ziv,Hershko,053-6952975
184,Matan,Feldman,054-5635017
185,Naomi,Cohen,058-4205394
186,Oren,Berkowitz,056-9196976
187,Naomi,Ashkenazi,053-8987516
188,Devora,Engel,050-2561176
189,Ron,Weiss,056-5081983
190,Tomer,Teller,059-7191135
191,Batya,Levin,058-6767292
192,Dana,Zamir,058-6549757
193,Rivka,Vardi,057-5545223
194,Tomer,Horowitz,053-3024269
195,Alon,Gross,051-9990305
196,Ziv,Klein,053-9123504
197,Ohad,Yosef,059-9801946
198,Paz,Avraham,053-5970190
199,Gil,Hoffman,052-6071208
200,David,Weinstein,058-3123709
201,Ohad,Mizrachi,050-5901239
202,Lior,Rabinowitz,057-2721135
203,David,Miller,054-8875173
204,Chana,Engel,055-4093109
205,Shmuel,Horowitz,057-2914064
206,Eliyahu,Adler,057-2242892
207,Penina,Rabinowitz,050-3545556
208,Ran,Miller,054-2429098
209,Itai,Friedman,058-7982241
210,Eli,Ben-David,058-7381684
211,Keren,Engel,054-8194570
212,Tomer,Miller,059-2010496
213,Eitan,Ashkenazi,053-4540415
214,Matan,Teller,051-3634980
215,Hai,Rosenberg,058-2259379
216,Tal,Cohen,056-8558197
217,Batya,Stern,050-4883526
218,Paz,Weinstein,054-8617381
219,Noam,Ullman,053-5438490
220,Ben,Diamond,051-4771676
221,Ran,Lieberman,052-2198058
222,Daniel,Katz,054-5842082
223,Liora,Friedman,057-6101803
224,Maya,Lieberman,058-9284509
225,Liora,Dahan,059-1668752
226,Michal,Zamir,055-5200476
227,Avraham,Dahan,053-1348050
228,Nadav,Miller,050-3939212
229,Batya,Jacobson,057-5666692
230,Ziv,Newman,056-9249789
231,Amit,Green,055-7850944
232,Adam,Gross,051-3698193
233,Adam,Baum,057-5835492
234,Maya,Ashkenazi,058-1615675
235,Inbar,Dahan,055-5234550
236,Zohar,Friedman,056-9633492
237,Yosef,Teller,058-8750676
238,Yael,Peretz,053-9697969
239,Rachel,Pollak,057-8416216
240,Shmuel,Schwartz,054-3198037
241,Paz,Engel,057-3037191
242,Avraham,Rabinowitz,059-5014745
243,Tal,Blum,058-1229419
244,Merav,Baum,051-4769851
245,Gal,Frank,051-3583206
246,Efrat,Weinstein,054-9537455
247,Nadav,Baum,057-8922533
248,Itai,Frank,058-3426689
249,Noa,Klein,059-9526867
250,Nir,Biton,054-7961578
251,Sarah,Israel,054-1043037
252,Paz,Yosef,054-9214801
253,Ran,Engel,058-9125900
254,Miriam,Feldman,058-7328534
255,Inbar,Gross,053-5006492
256,Penina,Rosen,053-7891662
257,Yitzhak,Gross,057-7395997
258,Noa,Teller,052-9310235
259,Yaakov,Shapira,058-6569946
260,Eitan,Engel,051-9823994
261,Inbar,Cohen,052-7878299
262,Ran,Biton,057-5446344
263,Sarah,Pollak,056-2347467
264,Adam,Ullman,058-7375499
265,Yaron,Rabinowitz,057-1602286
266,Eliyahu,Berkowitz,054-4816586
267,Amit,Diamond,051-2686231
268,Liora,Katz,054-1485654
269,Yitzhak,Gross,050-5921894
270,Rivka,Hoffman,056-3442255
271,Itai,Jacobson,056-4020853
272,Uri,Rosenberg,051-7418028
273,Hai,Hershko,059-3401116
274,Gil,Frank,054-8710313
275,Kobi,Teller,050-8805654
276,Paz,Ullman,058-3650391
277,Noam,Engel,055-6018975
278,Dana,Vardi,054-8664433
279,Shahar,Klein,056-9106886
280,Ari,Berkowitz,056-7022335
281,Penina,Stern,054-1368085
282,Shira,Lieberman,050-1822825
283,Efrat,Stern,053-6910964
284,Eli,Rabinowitz,053-5204819
285,Nir,Rabinowitz,051-1661401
286,Tomer,Engel,050-7121355
287,Lior,Dahan,054-6481437
288,Hila,Rosenberg,053-3217273
289,Liat,Hoffman,058-9418719
290,Nadav,Katz,054-9084065
291,Ron,Zamir,055-2932227
292,Ayala,Biton,052-4785186
293,Shira,Levin,055-2515030
294,Shira,Cohen,054-3073474
295,Inbar,Hoffman,054-7392547
296,Leah,Avraham,053-8910069
297,Avraham,Pollak,058-6503032
298,Eli,Silver,051-8789116
299,Shahar,Silver,056-2957497
300,Nir,Mizrachi,050-6106390
301,Efrat,Friedman,051-4939290
302,Kayla,Shapira,056-8610879
303,Leah,Teller,058-8031780
304,Ran,Baum,051-9209880
305,Yael,Lieberman,050-7216461
306,Dor,Engel,057-4961312
307,Rachel,Avraham,055-7017548
308,Daniel,Adler,054-4184459
309,Ido,Frank,051-4558545
310,Moshe,Peretz,055-5086407
311,Lior,Miller,053-2151087
312,Merav,Schwartz,059-4623062
313,Gil,Feldman,052-1047572
314,Ohad,Goldstein,052-5205279
315,Yonatan,Friedman,050-3211291
316,David,Fischer,053-6431983
317,Moshe,Rosenberg,054-1879109
318,Lior,Zamir,056-9826250
319,Gal,Zamir,051-8990081
320,Keren,Ben-David,055-9610704
321,Ari,Engel,058-4716988
322,Yitzhak,Yosef,058-6060517
323,Inbar,Silver,050-2020480
324,Chana,Adler,056-2811298
325,Devora,Weinstein,057-2232969
326,Oren,Gross,059-3488628
327,Eliyahu,Shapira,054-6455706
328,Tamar,Oren,058-5947563
329,Inbar,Israel,059-8217547
330,Eitan,Vardi,051-4607488
331,Michal,Engel,053-7942639
332,Sarah,Frank,056-7979148
333,Eitan,Gross,056-6243275
334,Kobi,Hoffman,052-8956894
335,Eliyahu,Dahan,051-2564141
336,Michal,Avraham,055-3182975
337,Naomi,Peretz,059-6530541
338,Ido,Baum,055-8095702
339,Shmuel,Stern,059-6242022
340,Rivka,Avraham,059-9512969
341,Dor,Goldstein,057-4762204
342,Ari,Fischer,058-7166651
343,Gal,Ashkenazi,054-4794319
344,Dana,Levin,059-1440466
345,Nadav,Levi,052-5584716
346,Tomer,Feldman,055-1102438
347,Ziv,Goldstein,059-7724045
348,Eliyahu,Goldstein,050-2539438
349,Julia,Schwartz,056-8043620
350,Inbar,Feldman,052-7208460
351,Tomer,Yosef,055-2425342
352,Shmuel,Goldstein,052-1834876
353,Oren,Lieberman,057-8113787
354,Devora,Oren,057-7948850
355,Nadav,Schwartz,058-2909540
356,Miriam,Diamond,051-5752087
357,Devora,Jacobson,054-1761976
358,Eli,Adler,059-1919088
359,Yosef,Schwartz,054-4543918
360,Nir,Ashkenazi,054-5856117
361,Zohar,Friedman,050-9344741
362,Michal,Rosenberg,052-7378822
363,Kayla,Weinstein,053-9393009
364,Naomi,Teller,055-2209226
365,Shira,Zamir,050-8318550
366,Moshe,Frank,051-6252285
367,Penina,Diamond,059-7785090
368,Hila,Stern,051-7795314
369,Moshe,Gross,052-8719145
370,Rachel,Dahan,056-2776088
371,Itai,Diamond,059-7718433
372,Julia,Dahan,056-6205543
373,Sarah,Weiss,055-3820798
374,Noam,Israel,051-9902071
375,Hadasa,Klein,055-6890476
376,Omer,Berkowitz,051-3456926
377,Kobi,Klein,052-3564729
378,Noam,Rosenberg,057-8783840
379,Orly,Ashkenazi,059-8531380
380,Orly,Silver,059-6422534
381,Yaron,Goldstein,057-2145653
382,Batya,Engel,054-5608259
383,Daniel,Fischer,058-2244712
384,Tomer,Frank,057-1630944
385,Daniel,Hoffman,054-2287332
386,Amit,Pollak,059-9507186
387,Noa,Frank,059-1688246
388,Keren,Miller,053-6394323
389,Batya,Israel,052-2038068
390,Keren,Avraham,055-2414808
391,Galit,Silver,052-1656695
392,Itai,Weinstein,057-8372274
393,Julia,Jacobson,059-3663319
394,Rachel,Hoffman,054-7499771
395,Yael,Ben-David,055-1878547
396,Adam,Biton,055-2585546
397,Naomi,Ullman,056-5767195
398,Kobi,Yosef,059-3522845
399,Adam,Dahan,059-3372774
400,Miriam,Blum,056-3163449
401,Oren,Blum,058-7319630
402,Adam,Shapira,058-2567880
403,Dana,Israel,055-1305857
404,Rachel,Blum,052-4593556
405,Sarah,Ben-David,057-4221313
406,Eli,Shapira,052-2294615
407,Ron,Avraham,058-9833734
408,Yaakov,Teller,055-3198638
409,Tamar,Goldstein,052-4034091
410,Uri,Yosef,057-1733037
411,Yael,Hoffman,053-8452417
412,Paz,Ashkenazi,057-4925917
413,Kayla,Berkowitz,054-8868776
414,Alon,Hoffman,059-8391997
415,Ayala,Ben-David,054-7406756
416,Galit,Jacobson,056-3718884
417,Ben,Oren,052-5194357
418,Shmuel,Silver,057-7227905
419,Merav,Avraham,058-3091745
420,Paz,Dahan,052-5576678
421,Keren,Israel,052-8339571
422,Amit,Weiss,057-6865064
423,Avraham,Baum,050-7651393
424,Galit,Hoffman,053-7478792
425,Oren,Hoffman,053-1472908
426,Yaron,Avraham,055-3450300
427,Nir,Mizrachi,054-8926478
428,Nir,Ashkenazi,057-8526283
429,Yosef,Dahan,050-5293691
430,Dor,Goldstein,058-9854536
431,Dana,Friedman,054-4986941
432,Shahar,Friedman,050-5000351
433,Hila,Rabinowitz,059-8669093
434,Eliyahu,Friedman,057-9993490
435,Moshe,Rabinowitz,058-5059048
436,Omer,Stern,056-1026245
437,Rivka,Berkowitz,059-7988844
438,Ziv,Teller,051-9782613
439,Rachel,Biton,058-9511546
440,Galit,Levin,050-7550726
441,Batya,Mizrachi,056-7262974
442,Kobi,Zamir,050-6991041
443,Eliyahu,Fischer,053-2739191
444,Ruth,Zamir,055-3238241
445,Yitzhak,Fischer,058-6679880
446,Yonatan,Ben-David,057-9028420
447,Ziv,Shapira,051-8678589
448,Yaakov,Stern,053-1734947
449,Ben,Mizrachi,055-6202210
450,Hadasa,Adler,058-8942330
451,Kobi,Mizrachi,053-5800144
452,Rivka,Ben-David,050-6568772
453,Nadav,Friedman,055-8330827
454,Maya,Zamir,057-7486822
455,Sarah,Rosenberg,057-9347057
456,Leah,Jacobson,054-2385991
457,Dana,Dahan,056-4027557
458,Liat,Stern,055-2721307
459,Oren,Gross,054-6142147
460,Keren,Oren,056-3795835
461,Liora,Fischer,057-1710601
462,Rivka,Pollak,056-5606274
463,Daniel,Biton,056-7095349
464,Hadasa,Zamir,052-1522452
465,Omer,Oren,057-1583829
466,Lior,Biton,053-7145971
467,Rachel,Rosen,059-1543335
468,Ran,Ullman,057-7223751
469,Leah,Engel,051-3310140
470,Julia,Hoffman,056-6274512
471,Ohad,Berkowitz,051-1434753
472,Ziv,Hershko,058-7492570
473,Naomi,Friedman,054-5366937
474,Keren,Schwartz,059-5791184
475,Devora,Klein,051-3277144
476,Noam,Engel,052-8467726
477,Amit,Ullman,055-6828829
478,Eliyahu,Levin,058-5871470
479,Shahar,Katz,052-7064832
480,Hadasa,Weiss,051-4371891
481,Nir,Berkowitz,057-1440972
482,Rachel,Levin,059-7189302
483,Ayala,Levin,052-2446455
484,Eliyahu,Blum,056-9030667
485,Julia,Baum,056-2237331
486,Lior,Gross,051-8549319
487,Ayala,Ullman,058-6779998
488,Lior,Ben-David,058-4052834
489,Lior,Diamond,058-1929673
490,Ido,Jacobson,052-6102363
491,Uri,Katz,055-4782763
492,Miriam,Jacobson,054-2323049
493,Kobi,Klein,058-5604524
494,Lior,Rabinowitz,054-9950276
495,Amit,Israel,052-3586950
496,Uri,Teller,059-6664316
497,Orly,Mizrachi,050-2362693
498,Yitzhak,Silver,059-5440189
499,Chen,Ben-David,059-7989166
500,Avraham,Hershko,058-5859883
501,Shahar,Green,053-7813102
502,Shahar,Frank,051-2005173
503,Tal,Engel,056-9124385
504,Ayala,Schwartz,055-3410360
505,Yaron,Weinstein,055-6794356
506,Maya,Shapira,055-9639932
507,Naomi,Avraham,055-5055688
508,Ayala,Friedman,054-8542969
509,Itai,Goldstein,051-1849015
510,Ron,Rosen,059-8015136
511,Itai,Katz,055-6246485
512,Alon,Ashkenazi,052-9359508
513,Hadasa,Frank,057-6176450
514,Efrat,Levi,051-7597509
515,Galit,Frank,053-4609524
516,Ruth,Fischer,050-1847927
517,Paz,Hershko,059-8895137
518,Paz,Kaplan,050-2803501
519,Michal,Shapira,054-7136730
520,Maya,Hoffman,050-7720644
521,Shmuel,Miller,058-4265774
522,Rachel,Levin,054-2233658
523,Noa,Israel,057-5692934
524,Ido,Shapira,051-7608607
525,Leah,Feldman,058-7133857
526,Omer,Klein,059-9541658
527,Maya,Israel,050-1760064
528,Yaakov,Shapira,055-8948107
529,Ilana,Frank,052-9648751
530,Nir,Gross,059-6344047
531,Tal,Adler,059-6020319
532,Sarah,Israel,058-9931180
533,Devora,Weinstein,059-6029651
534,Batya,Levi,055-6557278
535,Gal,Baum,059-6161977
536,Avraham,Oren,057-5454861
537,Ruth,Miller,053-1861596
538,Ruth,Green,052-9795159
539,Tamar,Goldstein,053-1529665
540,Penina,Vardi,051-4200829
541,Moshe,Engel,055-8025967
542,Ran,Baum,053-7884990
543,Galit,Ben-David,059-8912226
544,Daniel,Weinstein,052-9702060
545,Chen,Levin,055-9025733
546,Julia,Rosen,055-3905518
547,Inbar,Kaplan,055-6943949
548,Matan,Pollak,057-4225657
549,Itai,Lieberman,058-6007984
550,Eli,Blum,054-4477544
551,Devora,Gross,057-6851946
552,Naomi,Yosef,054-5828304
553,Ido,Miller,058-7370211
554,Shira,Fischer,052-5872986
555,Yitzhak,Stern,051-6811015
556,Liora,Silver,054-9037616
557,Dor,Klein,058-5548852
558,Naomi,Vardi,054-3303058
559,Ari,Pollak,059-5014486
560,Itai,Peretz,058-4786141
561,Gil,Peretz,051-7934046
562,Adam,Weinstein,057-2686863
563,Nir,Cohen,058-3649811
564,Yael,Silver,057-9010256
565,Ben,Ashkenazi,054-6388299
566,Paz,Silver,050-2500901
567,Penina,Weiss,058-1625760
568,Yonatan,Baum,052-1609681
569,Shira,Hershko,052-5856449
570,Yaakov,Cohen,054-2800206
571,Adam,Stern,057-9796605
572,Efrat,Shapira,058-8852085
573,Nadav,Klein,051-6547958
574,Tal,Yosef,057-5316188
575,Ziv,Cohen,055-5949685
576,Orly,Ullman,053-3944316
577,Maya,Diamond,058-6501696
578,Amit,Adler,051-4100114
579,Nir,Green,055-5161539
580,Yosef,Horowitz,056-4951390
581,Keren,Ashkenazi,054-6530194
582,Shahar,Newman,059-1191859
583,Matan,Silver,055-4964499
584,Daniel,Teller,051-8808032
585,Tomer,Katz,056-9430894
586,Tomer,Vardi,051-5949909
587,Leah,Pollak,053-4676367
588,Nir,Green,052-8633275
589,Leah,Baum,058-8899184
590,Kayla,Teller,053-5151780
591,Oren,Jacobson,057-9861274
592,Rachel,Biton,059-2882551
593,Daniel,Levin,058-4391627
594,Penina,Kaplan,052-3760475
595,Zohar,Jacobson,057-2950183
596,Chen,Weinstein,059-9201172
597,Amit,Israel,057-1933413
598,Inbar,Shapira,058-7969667
599,Inbar,Miller,050-8757420
600,Tomer,Yosef,050-7642917
601,Kobi,Cohen,053-2225232
602,Yitzhak,Diamond,055-2069713
603,Liat,Peretz,051-8920040
604,Yaakov,Stern,056-4019585
605,Nir,Ben-David,056-7282411
606,Tamar,Engel,056-7302286
607,Oren,Ullman,058-3231198
608,Miriam,Friedman,052-7594429
609,Julia,Shapira,053-1058272
610,Moshe,Blum,057-8115687
611,Kayla,Rosen,053-5152562
612,Inbar,Fischer,052-5624635
613,Alon,Yosef,051-1540516
614,Hila,Pollak,050-5037710
615,Chen,Biton,051-1563316
616,Keren,Oren,050-5105957
617,Yitzhak,Adler,057-4931560
618,Liat,Schwartz,050-3351084
619,Galit,Stern,053-6350316
620,Penina,Oren,055-4974590
621,Shahar,Goldstein,058-4708481
622,Yael,Blum,054-2022699
623,Naomi,Newman,052-8167236
624,Naomi,Hershko,050-6778321
625,Tamar,Jacobson,055-7984768
626,Yael,Goldstein,054-7315953
627,Ziv,Ashkenazi,058-8944327
628,Hai,Weiss,054-3421820
629,Ayala,Peretz,058-7923579
630,Hila,Levin,058-3249703
631,Noa,Berkowitz,054-4411424
632,Adam,Silver,051-8546170
633,Leah,Dahan,058-4195751
634,Shmuel,Lieberman,056-1663497
635,Noam,Klein,059-4640933
636,Chana,Schwartz,055-6086650
637,David,Schwartz,053-2968239
638,Chana,Berkowitz,059-4431161
639,Shira,Berkowitz,058-6395804
640,Paz,Rosen,057-9953163
641,Rivka,Blum,054-7033835
642,Hadasa,Hershko,057-2654371
643,Batya,Ashkenazi,055-4407913
644,Leah,Gross,056-1766977
645,Orly,Weiss,052-1272124
646,Matan,Levin,059-8005797
647,Ron,Goldstein,053-6534221
648,Gil,Rosen,059-5122665
649,Efrat,Levin,055-5317226
650,Devora,Yosef,057-8731427
651,Uri,Yosef,055-3839807
652,Nir,Yosef,058-9192588
653,Ziv,Kaplan,050-9790328
654,Yaakov,Biton,050-1107102
655,Yael,Shapira,053-2140312
656,Ran,Cohen,053-9484790
657,Inbar,Hoffman,050-9106820
658,Devora,Levi,050-9929043
659,Merav,Baum,050-1280618
660,Julia,Yosef,054-9988193
661,Paz,Levi,058-8223819
662,Yonatan,Avraham,051-9797727
663,Ran,Berkowitz,053-9832465
664,Kobi,Fischer,054-7658817
665,Oren,Hoffman,056-8700704
666,Orly,Berkowitz,053-6032739
667,Oren,Silver,050-2568678
668,Maya,Rosen,056-8986040
669,Daniel,Rabinowitz,050-3875339
670,Oren,Hershko,056-6557798
671,Orly,Avraham,058-1713900
672,Gil,Schwartz,059-8977571
673,Nadav,Mizrachi,051-5703878
674,Liat,Miller,050-4009069
675,Yaron,Levi,053-3419132
676,Shira,Biton,054-3725462
677,Orly,Berkowitz,059-7528964
678,Liat,Feldman,056-3347981
679,Oren,Israel,055-1900876
680,Eitan,Diamond,053-2275374
681,Sarah,Oren,059-7655572
682,Zohar,Levi,054-8558977
683,Devora,Weiss,055-7298619
684,Michal,Rosenberg,059-7376562
685,Oren,Ben-David,059-5955645
686,Itai,Weinstein,051-2376369
687,Nadav,Goldstein,056-3588336
688,Noa,Gross,055-2787627
689,Amit,Cohen,054-8461429
690,Rachel,Ashkenazi,054-2715158
691,Lior,Dahan,052-8230636
692,Keren,Levin,058-9597330
693,Yael,Avraham,050-2503554
694,Rivka,Levin,051-6443037
695,Noa,Cohen,054-7942580
696,Noa,Ben-David,051-5072543
697,Penina,Jacobson,052-7387623
698,Uri,Shapira,054-6052144
699,Nadav,Hershko,052-2061446
700,Uri,Diamond,054-8064924
701,Shahar,Green,051-7058670
702,Kobi,Berkowitz,057-4280754
703,Inbar,Avraham,052-6111313
704,Yosef,Adler,055-7373495
705,Adam,Engel,055-8224541
706,Nir,Blum,055-4369728
707,Chana,Gross,052-7681351
708,Yaron,Stern,057-5067204
709,Zohar,Rosen,054-7592357
710,Rachel,Friedman,059-4352088
711,Liat,Rosenberg,058-1451577
712,Ayala,Weinstein,053-8356053
713,Ron,Vardi,051-7864256
714,Efrat,Shapira,054-5060441
715,Kobi,Teller,052-8098909
716,Tamar,Biton,057-9040224
717,Ruth,Adler,058-9499549
718,Hila,Kaplan,050-7031903
719,Kayla,Oren,051-2834914
720,Itai,Teller,055-3790696
721,Yitzhak,Miller,056-6563269
722,Michal,Avraham,050-2654343
723,Matan,Weiss,058-9703982
724,Naomi,Newman,059-4708297
725,Keren,Hoffman,056-8768911
726,Galit,Goldstein,055-1412092
727,Chana,Avraham,054-7978909
728,Oren,Friedman,052-6843985
729,Tomer,Feldman,057-4470657
730,Ilana,Green,055-8988681
731,Eitan,Engel,057-6350413
732,Eliyahu,Blum,050-2930810
733,Moshe,Feldman,051-3757404
734,Itai,Jacobson,052-3686631
735,Adam,Levin,056-8751982
736,Gil,Adler,052-4127053
737,Michal,Adler,050-4310554
738,Keren,Newman,056-7523581
739,Yosef,Weinstein,053-4452490
740,Ohad,Ashkenazi,051-2707116
741,Kayla,Rosenberg,055-6469119
742,Ben,Frank,051-5401559
743,Devora,Jacobson,055-7520284
744,Shira,Newman,051-6837206
745,Rivka,Frank,059-3894531
746,Shahar,Pollak,059-2421902
747,Nir,Gross,051-5002586
748,Tomer,Friedman,052-7263036
749,Omer,Israel,056-8016887
750,Nir,Miller,056-8097413
751,Ziv,Hershko,058-3906397
752,Naomi,Katz,057-5845843
753,Nir,Rosenberg,055-8566540
754,Shmuel,Fischer,050-9130388
755,Nir,Klein,056-9479842
756,Efrat,Baum,057-7973121
757,Liora,Hershko,052-2386982
758,Orly,Levi,053-5900455
759,Yaakov,Lieberman,053-5843084
760,Uri,Ben-David,057-9309978
761,Merav,Israel,051-2916069
762,Nadav,Ben-David,058-7154919
763,Liat,Ashkenazi,050-8404902
764,Liat,Schwartz,056-2718262
765,Itai,Blum,050-8545256
766,Matan,Fischer,051-8366370
767,Ido,Ben-David,053-4521171
768,Miriam,Weinstein,059-8183451
769,Uri,Pollak,052-4466502
770,Chen,Peretz,059-6885707
771,Kayla,Lieberman,059-3824903
772,Zohar,Weinstein,054-5854206
773,Penina,Lieberman,058-2597613
774,Nir,Ashkenazi,056-1994652
775,Ohad,Silver,052-3226183
776,Itai,Goldstein,055-5153279
777,Shira,Hershko,052-5508325
778,Hila,Rosen,057-2266952
779,Amit,Adler,058-5667852
780,Leah,Frank,057-6491002
781,Ruth,Cohen,051-8691502
782,Rivka,Biton,058-7672565
783,Dor,Diamond,053-9299939
784,Nadav,Gross,054-6666591
785,Merav,Miller,052-9142618
786,Sarah,Ullman,050-1770794
787,Eitan,Rabinowitz,057-1273155
788,Ido,Katz,057-8659103
789,Yosef,Diamond,053-3213134
790,Shahar,Katz,054-2565985
791,Rachel,Horowitz,051-7238503
792,Uri,Peretz,056-6125594
793,Gil,Diamond,051-2596917
794,Yosef,Schwartz,057-2307594
795,Lior,Newman,053-9714828
